code,name,market,yahoo_symbol
3664,安瑞-KY,tw_stocks,"3664.TW,3664.TWO"
3666,光耀,tw_stocks,"3666.TW,3666.TWO"
3672,康聯訊,tw_stocks,"3672.TW,3672.TWO"
3675,德微,tw_stocks,"3675.TW,3675.TWO"
3680,家登,tw_stocks,"3680.TW,3680.TWO"
3684,榮昌,tw_stocks,"3684.TW,3684.TWO"
3685,元創精密,tw_stocks,"3685.TW,3685.TWO"
3687,歐買尬,tw_stocks,"3687.TW,3687.TWO"
3689,湧德,tw_stocks,"3689.TW,3689.TWO"
3691,碩禾,tw_stocks,"3691.TW,3691.TWO"
3693,營邦,tw_stocks,"3693.TW,3693.TWO"
3707,漢磊,tw_stocks,"3707.TW,3707.TWO"
3709,鑫聯大投控,tw_stocks,"3709.TW,3709.TWO"
3710,連展投控,tw_stocks,"3710.TW,3710.TWO"
3713,新晶投控,tw_stocks,"3713.TW,3713.TWO"
4102,永日,tw_stocks,"4102.TW,4102.TWO"
4105,東洋,tw_stocks,"4105.TW,4105.TWO"
4107,邦特,tw_stocks,"4107.TW,4107.TWO"
4109,加捷生醫,tw_stocks,"4109.TW,4109.TWO"
4111,濟生,tw_stocks,"4111.TW,4111.TWO"
4113,聯上,tw_stocks,"4113.TW,4113.TWO"
4114,健喬,tw_stocks,"4114.TW,4114.TWO"
4116,明基醫,tw_stocks,"4116.TW,4116.TWO"
4120,友華,tw_stocks,"4120.TW,4120.TWO"
4121,優盛,tw_stocks,"4121.TW,4121.TWO"
4123,晟德,tw_stocks,"4123.TW,4123.TWO"
4126,太醫,tw_stocks,"4126.TW,4126.TWO"
4127,天良,tw_stocks,"4127.TW,4127.TWO"
4128,中天,tw_stocks,"4128.TW,4128.TWO"
4129,聯合,tw_stocks,"4129.TW,4129.TWO"
4130,健亞,tw_stocks,"4130.TW,4130.TWO"
4131,浩泰,tw_stocks,"4131.TW,4131.TWO"
4138,曜亞,tw_stocks,"4138.TW,4138.TWO"
4139,馬光-KY,tw_stocks,"4139.TW,4139.TWO"
4147,中裕,tw_stocks,"4147.TW,4147.TWO"
4153,鈺緯,tw_stocks,"4153.TW,4153.TWO"
4154,樂威科-KY,tw_stocks,"4154.TW,4154.TWO"
4157,太景*-KY,tw_stocks,"4157.TW,4157.TWO"
4160,訊聯基因,tw_stocks,"4160.TW,4160.TWO"
4161,聿新科,tw_stocks,"4161.TW,4161.TWO"
4162,智擎,tw_stocks,"4162.TW,4162.TWO"
4163,鐿鈦,tw_stocks,"4163.TW,4163.TWO"
4166,友霖,tw_stocks,"4166.TW,4166.TWO"
4167,松瑞藥,tw_stocks,"4167.TW,4167.TWO"
4168,醣聯,tw_stocks,"4168.TW,4168.TWO"
4171,瑞基,tw_stocks,"4171.TW,4171.TWO"
4173,久裕,tw_stocks,"4173.TW,4173.TWO"
4174,浩鼎,tw_stocks,"4174.TW,4174.TWO"
4175,杏一,tw_stocks,"4175.TW,4175.TWO"
4183,福永生技,tw_stocks,"4183.TW,4183.TWO"
4188,安克,tw_stocks,"4188.TW,4188.TWO"
4192,杏國,tw_stocks,"4192.TW,4192.TWO"
4198,欣大健康,tw_stocks,"4198.TW,4198.TWO"
4205,中華食,tw_stocks,"4205.TW,4205.TWO"
4207,環泰,tw_stocks,"4207.TW,4207.TWO"
4303,信立,tw_stocks,"4303.TW,4303.TWO"
4304,勝昱,tw_stocks,"4304.TW,4304.TWO"
4305,世坤,tw_stocks,"4305.TW,4305.TWO"
4401,東隆興,tw_stocks,"4401.TW,4401.TWO"
4402,郡都開發,tw_stocks,"4402.TW,4402.TWO"
